# Time,x,y,z
2016-06-13 13:00:00,1.288807028889348730e+06,-1.810721904508544540e+05,-6.106637069295503898e+04
2016-06-13 14:00:00,1.288742653319997480e+06,-1.801348091991260007e+05,-6.115686834180913866e+04
2016-06-13 15:00:00,1.288678538084089290e+06,-1.791972733817035041e+05,-6.124720260130701354e+04
2016-06-13 16:00:00,1.288614685115872184e+06,-1.782595845523823809e+05,-6.133737341416237177e+04
2016-06-13 17:00:00,1.288551096347074024e+06,-1.773217442799168348e+05,-6.142738074542651884e+04
2016-06-13 18:00:00,1.288487773711485555e+06,-1.763837540675603959e+05,-6.151722454180801287e+04
2016-06-13 19:00:00,1.288424719132592902e+06,-1.754456154438358790e+05,-6.160690475002664607e+04
2016-06-13 20:00:00,1.288361934497724520e+06,-1.745073299362021207e+05,-6.169642133638099767e+04
2016-06-13 21:00:00,1.288299421740751248e+06,-1.735688990111741005e+05,-6.178577422406134428e+04
2016-06-13 22:00:00,1.288237182748700725e+06,-1.726303241650034906e+05,-6.187496339651476592e+04
2016-06-13 23:00:00,1.288175219427874545e+06,-1.716916068658962322e+05,-6.196398877297539730e+04
2016-06-14 00:00:00,1.288113533643509261e+06,-1.707527485419075820e+05,-6.205285031057056040e+04
2016-06-14 01:00:00,1.288052127293723170e+06,-1.698137506611788995e+05,-6.214154797327326378e+04
2016-06-14 02:00:00,1.287991002249404788e+06,-1.688746146392593801e+05,-6.223008168551075505e+04
2016-06-14 03:00:00,1.287930160380433314e+06,-1.679353418869251036e+05,-6.231845140325429384e+04
2016-06-14 04:00:00,1.287869603543419158e+06,-1.669959338203294901e+05,-6.240665706015849719e+04
2016-06-14 05:00:00,1.287809333592203213e+06,-1.660563918201641063e+05,-6.249469862536835717e+04
2016-06-14 06:00:00,1.287749352386754472e+06,-1.651167172413654916e+05,-6.258257602736074477e+04
2016-06-14 07:00:00,1.287689661761699710e+06,-1.641769114758384530e+05,-6.267028920899599325e+04
2016-06-14 08:00:00,1.287630263537602033e+06,-1.632369758712244220e+05,-6.275783812231995398e+04
2016-06-14 09:00:00,1.287571159573713085e+06,-1.622969117456484528e+05,-6.284522270379576366e+04
2016-06-14 10:00:00,1.287512351673402824e+06,-1.613567204274519754e+05,-6.293244289233768359e+04
2016-06-14 11:00:00,1.287453841657998506e+06,-1.604164032473671541e+05,-6.301949862565071089e+04
2016-06-14 12:00:00,1.287395631337075960e+06,-1.594759614821656724e+05,-6.310638985976635013e+04
2016-06-14 13:00:00,1.287337722523028264e+06,-1.585353964322025713e+05,-6.319311652330314973e+04
2016-06-14 14:00:00,1.287280117002703017e+06,-1.575947093649064191e+05,-6.327967855916271219e+04
2016-06-14 15:00:00,1.287222816568692215e+06,-1.566539015420184878e+05,-6.336607590111537138e+04
2016-06-14 16:00:00,1.287165823004448088e+06,-1.557129741999040416e+05,-6.345230849609547295e+04
2016-06-14 17:00:00,1.287109138099543750e+06,-1.547719285988024203e+05,-6.353837627269874793e+04
2016-06-14 18:00:00,1.287052763613774907e+06,-1.538307659468325146e+05,-6.362427916992653627e+04
2016-06-14 19:00:00,1.286996701321270317e+06,-1.528894874442948203e+05,-6.371001711639686255e+04
2016-06-14 20:00:00,1.286940952968285885e+06,-1.519480943189793034e+05,-6.379559005113434978e+04
2016-06-14 21:00:00,1.286885520322840661e+06,-1.510065877208599995e+05,-6.388099792510695988e+04
2016-06-14 22:00:00,1.286830405122025870e+06,-1.500649688472065609e+05,-6.396624064585962333e+04
2016-06-14 23:00:00,1.286775609119636239e+06,-1.491232388576767116e+05,-6.405131816438480746e+04
2016-06-15 00:00:00,1.286721134025505977e+06,-1.481813988711738493e+05,-6.413623040259146364e+04
2016-06-15 01:00:00,1.286666981589977164e+06,-1.472394500563946494e+05,-6.422097730238171062e+04
2016-06-15 02:00:00,1.286613153521062108e+06,-1.462973935304762563e+05,-6.430555878049228340e+04
2016-06-15 03:00:00,1.286559651527823182e+06,-1.453552303851306497e+05,-6.438997477602952858e+04
2016-06-15 04:00:00,1.286506477337491000e+06,-1.444129617341090343e+05,-6.447422521771717584e+04
2016-06-15 05:00:00,1.286453632629323751e+06,-1.434705886601168022e+05,-6.455831002755649388e+04
2016-06-15 06:00:00,1.286401119116992224e+06,-1.425281122371817473e+05,-6.464222915264480980e+04
2016-06-15 07:00:00,1.286348938475799980e+06,-1.415855335067224805e+05,-6.472598249665915500e+04
2016-06-15 08:00:00,1.286297092391969403e+06,-1.406428535535440024e+05,-6.480956998959177872e+04
2016-06-15 09:00:00,1.286245582545765676e+06,-1.397000733774056425e+05,-6.489299156144796871e+04
2016-06-15 10:00:00,1.286194410597773734e+06,-1.387571940138679347e+05,-6.497624714744446101e+04
2016-06-15 11:00:00,1.286143578207100276e+06,-1.378142164928265556e+05,-6.505933665130706504e+04
2016-06-15 12:00:00,1.286093087035394274e+06,-1.368711417783723737e+05,-6.514226001222961349e+04
2016-06-15 13:00:00,1.286042938737624092e+06,-1.359279708791248268e+05,-6.522501714716583956e+04
2016-06-15 14:00:00,1.285993134942654055e+06,-1.349847047602036328e+05,-6.530760796505422331e+04
2016-06-15 15:00:00,1.285943677287645405e+06,-1.340413443805776187e+05,-6.539003241034975508e+04
