# Time,x,y,z
2016-05-14 01:00:00,1.420103201092999894e+06,-6.054286034500000096e+04,1.645518240919999953e+05
2016-05-14 02:00:00,1.420056728413000004e+06,-6.014974617500000022e+04,1.644916419919999898e+05
2016-05-14 03:00:00,1.420010439735000022e+06,-5.975683762099999876e+04,1.644310957509999862e+05
2016-05-14 04:00:00,1.419964337772000115e+06,-5.936413502799999696e+04,1.643701851740000129e+05
2016-05-14 05:00:00,1.419918425223000115e+06,-5.897163871700000163e+04,1.643089100690000050e+05
2016-05-14 06:00:00,1.419872704773999983e+06,-5.857934899399999995e+04,1.642472702430000063e+05
2016-05-14 07:00:00,1.419827179099000059e+06,-5.818726614100000006e+04,1.641852655040000100e+05
2016-05-14 08:00:00,1.419781850859999890e+06,-5.779539042299999710e+04,1.641228956609999877e+05
2016-05-14 09:00:00,1.419736722704000073e+06,-5.740372208800000226e+04,1.640601605240000063e+05
2016-05-14 10:00:00,1.419691797267999966e+06,-5.701226136099999712e+04,1.639970599050000019e+05
2016-05-14 11:00:00,1.419647077174999984e+06,-5.662100845000000118e+04,1.639335936140000122e+05
2016-05-14 12:00:00,1.419602565033999970e+06,-5.622996354599999904e+04,1.638697614640000102e+05
2016-05-14 13:00:00,1.419558263443999924e+06,-5.583912681999999768e+04,1.638055632700000133e+05
2016-05-14 14:00:00,1.419514174987999955e+06,-5.544849842499999795e+04,1.637409988449999946e+05
2016-05-14 15:00:00,1.419470302238000091e+06,-5.505807849100000021e+04,1.636760680040000007e+05
2016-05-14 16:00:00,1.419426647754000034e+06,-5.466786713900000177e+04,1.636107705650000134e+05
2016-05-14 17:00:00,1.419383214083000086e+06,-5.427786446900000010e+04,1.635451063450000074e+05
2016-05-14 18:00:00,1.419340003759999992e+06,-5.388807056200000079e+04,1.634790751630000013e+05
2016-05-14 19:00:00,1.419297019305000082e+06,-5.349848548199999641e+04,1.634126768370000063e+05
2016-05-14 20:00:00,1.419254263226999901e+06,-5.310910927500000253e+04,1.633459111900000134e+05
2016-05-14 21:00:00,1.419211738022000063e+06,-5.271994197200000053e+04,1.632787780410000123e+05
2016-05-14 22:00:00,1.419169446170999901e+06,-5.233098358400000143e+04,1.632112772150000092e+05
2016-05-14 23:00:00,1.419127390147000086e+06,-5.194223410699999658e+04,1.631434085360000026e+05
2016-05-15 00:00:00,1.419085572404999984e+06,-5.155369351800000004e+04,1.630751718279999914e+05
2016-05-15 01:00:00,1.419043995391000062e+06,-5.116536177999999927e+04,1.630065669169999892e+05
2016-05-15 02:00:00,1.419002661535999971e+06,-5.077723883699999715e+04,1.629375936320000037e+05
2016-05-15 03:00:00,1.418961573259999976e+06,-5.038932461899999907e+04,1.628682518010000058e+05
2016-05-15 04:00:00,1.418920732969000004e+06,-5.000161903699999675e+04,1.627985412540000107e+05
2016-05-15 05:00:00,1.418880143056999892e+06,-4.961412198699999863e+04,1.627284618229999905e+05
2016-05-15 06:00:00,1.418839805905000074e+06,-4.922683335000000079e+04,1.626580133379999897e+05
2016-05-15 07:00:00,1.418799723878999939e+06,-4.883975298699999985e+04,1.625871956350000110e+05
2016-05-15 08:00:00,1.418759899335999973e+06,-4.845288074800000322e+04,1.625160085480000125e+05
2016-05-15 09:00:00,1.418720334620000096e+06,-4.806621646499999770e+04,1.624444519129999971e+05
2016-05-15 10:00:00,1.418681032060999889e+06,-4.767975995600000169e+04,1.623725255689999904e+05
2016-05-15 11:00:00,1.418641993977000006e+06,-4.729351102099999844e+04,1.623002293530000024e+05
2016-05-15 12:00:00,1.418603222673000069e+06,-4.690746944700000313e+04,1.622275631059999869e+05
2016-05-15 13:00:00,1.418564720442000078e+06,-4.652163500499999645e+04,1.621545266699999920e+05
2016-05-15 14:00:00,1.418526489562999923e+06,-4.613600744799999666e+04,1.620811198879999865e+05
