# Time,x,y,z
2017-01-15 13:00:00,1.442047000000000000e+06,-2.496630000000000000e+05,6.135400000000000000e+04
2017-01-15 14:00:00,1.441960000000000000e+06,-2.496470000000000000e+05,6.114800000000000000e+04
2017-01-15 15:00:00,1.441872000000000000e+06,-2.496320000000000000e+05,6.094100000000000000e+04
2017-01-15 16:00:00,1.441791000000000000e+06,-2.496000000000000000e+05,6.073200000000000000e+04
2017-01-15 17:00:00,1.441711000000000000e+06,-2.495660000000000000e+05,6.052300000000000000e+04
2017-01-15 18:00:00,1.441631000000000000e+06,-2.495320000000000000e+05,6.031400000000000000e+04
2017-01-15 19:00:00,1.441551000000000000e+06,-2.494980000000000000e+05,6.010400000000000000e+04
2017-01-15 20:00:00,1.441471000000000000e+06,-2.494640000000000000e+05,5.989500000000000000e+04
2017-01-15 21:00:00,1.441391000000000000e+06,-2.494300000000000000e+05,5.968500000000000000e+04
2017-01-15 22:00:00,1.441311000000000000e+06,-2.493960000000000000e+05,5.947600000000000000e+04
2017-01-15 23:00:00,1.441231000000000000e+06,-2.493620000000000000e+05,5.926700000000000000e+04
2017-01-16 00:00:00,1.441151000000000000e+06,-2.493280000000000000e+05,5.905700000000000000e+04
2017-01-16 01:00:00,1.441071000000000000e+06,-2.492940000000000000e+05,5.884800000000000000e+04
2017-01-16 02:00:00,1.440991000000000000e+06,-2.492600000000000000e+05,5.863900000000000000e+04
2017-01-16 03:00:00,1.440911000000000000e+06,-2.492260000000000000e+05,5.842900000000000000e+04
2017-01-16 04:00:00,1.440831000000000000e+06,-2.491930000000000000e+05,5.822000000000000000e+04
2017-01-16 05:00:00,1.440751000000000000e+06,-2.491590000000000000e+05,5.801000000000000000e+04
2017-01-16 06:00:00,1.440671000000000000e+06,-2.491250000000000000e+05,5.780100000000000000e+04
2017-01-16 07:00:00,1.440591000000000000e+06,-2.490910000000000000e+05,5.759200000000000000e+04
2017-01-16 08:00:00,1.440511000000000000e+06,-2.490570000000000000e+05,5.738200000000000000e+04
2017-01-16 09:00:00,1.440430000000000000e+06,-2.490230000000000000e+05,5.717300000000000000e+04
2017-01-16 10:00:00,1.440350000000000000e+06,-2.489890000000000000e+05,5.696300000000000000e+04
2017-01-16 11:00:00,1.440270000000000000e+06,-2.489550000000000000e+05,5.675400000000000000e+04
2017-01-16 12:00:00,1.440190000000000000e+06,-2.489210000000000000e+05,5.654500000000000000e+04
2017-01-16 13:00:00,1.440110000000000000e+06,-2.488870000000000000e+05,5.633500000000000000e+04
