Time,vx,vy,vz,x,y,z,Bx,By,Bz
1537342470.0,-438.09033553326714,-26.019768417858685,-31.840289881972016,1443707.3498904998,-215383.04961,26815.038834500003,3.260851263999939,-0.5801478922367096,-1.129699170589447
1537342530.0,-438.117431640625,-26.231182098388672,-30.823182106018066,1443704.9640465002,-215379.8211415,26819.250018500003,3.3236637115478516,-0.5446229577064514,-1.2174778580665588
1537342590.0,-438.0696045922451,-25.91872465415079,-29.24729966335609,1443702.5782685,-215376.59261599998,26823.4611845,3.347288727760315,-0.584495484828949,-1.159197747707367
1537342650.0,-438.1015625,-24.67376708984375,-28.883213996887207,1443700.1925565,-215373.364034,26827.672332000002,3.265894055366516,-0.7151033580303192,-1.033739984035492
1537342710.0,-437.98679039126534,-23.87510137088963,-29.910947487002513,1443697.8069099998,-215370.135396,26831.8834605,3.3079044818878174,-0.669610321521759,-1.17809396982193
1537342770.0,-437.8311004638672,-23.562166213989258,-30.797173500061035,1443695.4213295,-215366.906702,26836.094571,3.3858931064605713,-0.6044183671474457,-1.2237961888313293
1537342830.0,-438.18331809122054,-23.876297872574604,-30.361553442282755,1443693.035815,-215363.6779515,26840.3056635,3.3387176990509033,-0.743419885635376,-1.1997243165969849
1537342890.0,-438.6475067138672,-25.06412124633789,-30.17344570159912,1443690.6503665,-215360.449144,26844.516736999998,3.1705394983291626,-0.6932219862937927,-1.1675193309783936
1537342950.0,-439.03401109038805,-25.223611237572843,-30.373109754968862,1443688.264984,-215357.2202805,26848.7277925,3.1245779991149902,-0.8220531940460205,-1.2872828245162964
1537343010.0,-438.82545471191406,-24.60853099822998,-30.47005844116211,1443685.879667,-215353.991361,26852.938829500003,3.16327440738678,-1.0402292609214783,-1.326644778251648
1537343070.0,-438.52783703413166,-24.848270009775632,-30.177368633082654,1443683.4944165,-215350.7623845,26857.149848,3.083757996559143,-1.0447157621383667,-1.3525782227516174
1537343130.0,-438.5752716064453,-25.540038108825684,-30.269634246826172,1443681.109232,-215347.5333515,26861.3608485,3.232752561569214,-0.8788955509662628,-1.1463662385940552
1537343190.0,-438.6470862216637,-26.030031110419603,-30.57474639767506,1443678.724113,-215344.3042625,26865.5718305,3.144964814186096,-1.0964850187301636,-1.2115405797958374
1537343250.0,-438.50804138183594,-26.01596164703369,-30.221869468688965,1443676.3390605,-215341.075117,26869.782794,3.231728196144104,-1.1388062238693237,-1.1510897278785706
1537343310.0,-438.17115258388833,-25.12261634576516,-30.900880969938683,1443673.954074,-215337.845915,26873.993738999998,3.1656349897384644,-1.0368614792823792,-1.3203542828559875
1537343370.0,-438.00047302246094,-24.9635648727417,-31.4124755859375,1443671.5691530001,-215334.6166565,26878.204665999998,3.1290305852890015,-1.1809117794036865,-1.2573557496070862
1537343430.0,-437.9205876668294,-25.523368040720623,-31.189951992034914,1443669.1842985,-215331.3873415,26882.415574500003,3.1959664821624756,-1.132623016834259,-1.2590320110321045
1537343490.0,-437.69017504082353,-26.17247966078461,-30.720121540007042,1443666.7995099998,-215328.1579705,26886.6264645,3.1974668502807617,-1.1175268292427063,-1.1829050183296204
1537343550.0,-437.45835151047004,-26.849340470110782,-30.65473168795226,1443664.4147875,-215324.92854300002,26890.837336,3.242231249809265,-1.1125323176383972,-1.1238864660263062
1537343610.0,-437.6536560058594,-27.15498447418213,-31.261445999145508,1443662.030131,-215321.699059,26895.048189499998,3.21065354347229,-0.9763703644275665,-1.3199835419654846
1537343670.0,-438.05840657552085,-27.15126387278239,-31.545632966359456,1443659.6455405,-215318.4695185,26899.2590245,3.226012706756592,-1.1956361532211304,-1.2335554957389832
1537343730.0,-437.85319894259095,-27.351405159371797,-31.270761552404185,1443657.2610165002,-215315.23992149998,26903.469841,3.2927746772766113,-1.037298321723938,-1.2375984191894531
1537343790.0,-437.43315199554945,-26.92135495045146,-31.409054959406618,1443654.876558,-215312.010268,26907.680639,3.3998759984970093,-0.9379599094390869,-1.0315457582473755
